title,title_id,imdb_id,content_rating,release_date,Action_Adventure,Animation,Comedy,SciFi_Fantasy,Drama,Family,Mystery_Crime,Bio_History,Horror_Thriller,Romance
Weapons,1471,tt26581740,R,2025-08-08,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
How to Train Your Dragon,1469,tt26743210,PG,2025-06-13,1.0,0,1,0.0,0,0,0.0,0.0,0.0,0
Bring Her Back,1468,tt32246771,R,2025-05-30,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
Lilo & Stitch,1467,tt11655566,PG,2025-05-23,1.0,0,1,0.0,0,0,0.0,0.0,0.0,0
Final Destination: Bloodlines,1466,tt9619824,R,2025-05-16,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Jane Austen Wrecked My Life,1465,tt31112509,R,2025-05-16,0.0,0,0,0.0,0,0,0.0,0.0,0.0,1
Friendship,1464,tt30505698,R,2025-05-09,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0
Shadow Force,1463,tt11092020,R,2025-05-09,1.0,0,0,0.0,1,0,0.0,0.0,1.0,0
The Surfer,1462,tt27813235,R,2025-05-02,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Thunderbolts*,1461,tt20969586,PG-13,2025-05-02,1.0,0,0,0.0,0,0,1.0,0.0,0.0,0
On Swift Horses,1460,tt15042300,R,2025-04-25,0.0,0,0,0.0,1,0,0.0,0.0,0.0,1
Until Dawn,1458,tt30955489,R,2025-04-25,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
The Accountant 2,1457,tt7068946,R,2025-04-25,1.0,0,0,0.0,1,0,1.0,0.0,0.0,0
Sinners,1456,tt31193180,R,2025-04-18,1.0,0,0,0.0,1,0,0.0,0.0,1.0,0
The Legend of Ochi,1455,tt8866456,PG,2025-04-18,1.0,0,0,1.0,0,1,0.0,0.0,0.0,0
The Wedding Banquet,1454,tt32214413,R,2025-04-18,0.0,0,1,0.0,0,0,0.0,0.0,0.0,1
Warfare,1453,tt31434639,R,2025-04-11,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Drop,1452,tt32149847,PG-13,2025-04-11,0.0,0,0,0.0,1,0,1.0,0.0,1.0,0
The Amateur,1451,tt0899043,PG-13,2025-04-11,1.0,0,0,0.0,0,0,0.0,0.0,1.0,0
A Minecraft Movie,1450,tt3566834,PG,2025-04-04,1.0,0,1,0.0,0,0,0.0,0.0,0.0,0
Hell of a Summer,1449,tt21267296,R,2025-04-04,0.0,0,1,0.0,0,0,1.0,0.0,1.0,0
The Penguin Lessons,1448,tt26677014,PG-13,2025-03-28,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
A Working Man,1447,tt9150192,R,2025-03-28,1.0,0,0,0.0,0,0,0.0,0.0,1.0,0
The Ballad of Wallis Island,1446,tt27674982,PG-13,2025-03-28,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
The Friend,1445,tt18108824,R,2025-03-28,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
The Woman in the Yard,1444,tt31314296,PG-13,2025-03-28,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
Death of a Unicorn,1443,tt28443655,R,2025-03-28,0.0,0,1,1.0,0,0,0.0,0.0,1.0,0
The Alto Knights,1442,tt21815562,R,2025-03-21,0.0,0,0,0.0,1,0,1.0,1.0,0.0,0
Bob Trevino Likes It,1441,tt28613536,PG-13,2025-03-21,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Disneys Snow White,1440,tt6208148,PG,2025-03-21,1.0,0,0,1.0,0,1,0.0,0.0,0.0,0
Opus,1439,tt29929565,R,2025-03-14,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
The Actor,1438,tt14127944,R,2025-03-14,0.0,0,0,0.0,1,0,1.0,0.0,0.0,0
Black Bag,1437,tt30988739,R,2025-03-14,0.0,0,0,0.0,1,0,1.0,0.0,0.0,1
Novocaine,1436,tt29603959,R,2025-03-14,1.0,0,1,0.0,0,0,0.0,0.0,1.0,0
On Becoming a Guinea Fowl,1435,tt32083311,PG-13,2025-03-07,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Seven Veils,1434,tt26671415,,2025-03-07,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Mickey 17,1433,tt12299608,R,2025-03-07,1.0,0,1,1.0,0,0,0.0,0.0,0.0,0
Riff Raff,1432,tt27775403,R,2025-02-28,0.0,0,1,0.0,0,0,1.0,0.0,0.0,0
Superboys of Malegaon,1431,tt28007064,PG-13,2025-02-28,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Last Breath,1430,tt14403504,PG-13,2025-02-28,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
The Monkey,1428,tt27714946,R,2025-02-21,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Paddington in Peru,1425,tt5822536,PG,2025-02-14,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0
Parthenope,1424,tt23853982,R,2025-02-07,0.0,0,0,1.0,1,0,0.0,0.0,0.0,0
Heart Eyes,1423,tt32558992,R,2025-02-07,0.0,0,1,0.0,0,0,1.0,0.0,1.0,0
Love Hurts,1422,tt30788842,R,2025-02-07,1.0,0,1,0.0,0,0,0.0,0.0,0.0,1
Companion,1420,tt26584495,R,2025-01-31,0.0,0,0,1.0,0,0,0.0,0.0,1.0,0
Dog Man,1419,tt10954718,PG,2025-01-31,1.0,1,0,0.0,0,0,0.0,0.0,0.0,0
Love Me,1418,tt21375602,R,2025-01-31,0.0,0,0,1.0,1,0,0.0,0.0,0.0,1
Presence,1417,tt28249919,R,2025-01-24,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
Flight Risk,1416,tt10078772,R,2025-01-24,1.0,0,0,0.0,1,0,1.0,0.0,0.0,0
Im Still Here,1415,tt14961016,PG-13,2025-01-17,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
One of Them Days,1414,tt32221196,R,2025-01-17,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0
Den of Thieves 2: Pantera,1412,tt8008948,R,2025-01-10,1.0,0,0,0.0,1,0,1.0,0.0,0.0,0
Hard Truths,1411,tt11891850,R,2025-01-10,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
The Last Showgirl,1410,tt31193791,R,2025-01-10,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Babygirl,1408,tt30057084,R,2024-12-25,0.0,0,0,0.0,1,0,0.0,0.0,1.0,1
The Fire Inside,1407,tt6133444,PG-13,2024-12-25,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
Better Man,1405,tt14260836,R,2024-12-25,0.0,0,0,1.0,0,0,0.0,1.0,0.0,0
A Complete Unknown,1404,tt11563598,R,2024-12-25,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
The Room Next Door,1403,tt29439114,PG-13,2024-12-20,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
The Brutalist,1402,tt8999762,R,2024-12-20,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Sonic The Hedgehog 3,1401,tt18259086,PG,2024-12-20,1.0,0,1,0.0,0,0,0.0,0.0,0.0,0
